trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-43.72264531991751,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,1,-72.11544014639796,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",35,0,-145.26072651345135,"{0: 25, 1: 3, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,11,-23.64718265855326,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,0,-38.83586457045004,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-168.28582251865475,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,0,-83.37659553879443,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,9,-21.126017510374908,"{0: 6, 1: 4, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",30,0,-112.3770231790956,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,7,-41.74232629891995,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-88.98043959501946,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-131.8575458233355,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,0,-182.56083283368727,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",30,4,-26.471323269933457,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,8,-58.76944024781601,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,0,-35.55430478123893,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,0,-152.72568708255693,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,1.9600887421060889,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",30,0,-103.65770091505946,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-148.74075798238584,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",30,0,-74.64772197060823,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,0,-35.09636802828186,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,0,-49.15431450998115,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-35.57064575366404,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-54.556406050866016,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,5,-15.34014814224212,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,2,-18.508604330408048,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",30,0,-94.65864732339219,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-12.343192189565627,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,15,7.513805410602966,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.611117239532865}",20,0,-40.79243334438614,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,0,-31.327252344589894,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",25,11,-71.96608578804596,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,0,-57.994813770768836,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-113.3139054454511,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,0,-83.53066748581891,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-128.7731921559683,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,7,-91.33362494101331,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",25,0,-48.62450526265012,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,6.354014107922102,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,-32.31581115322301,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,8,-67.47542660687792,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",30,4,-48.43358123968394,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,11,-4.995257442885242,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,5,-9.486740445253401,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,8,-56.18100754342435,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",35,0,-44.18472383565978,"{0: 24, 1: 6, 2: 5, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,0,-140.5558310740165,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",25,12,25.185951897688877,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",35,6,-18.765305649317362,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,0,-9.602330384303135,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,6,-7.852442019147277,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,10,5.678512913327122,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,0,-59.80636103366289,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",25,0,0.49613255591843974,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,8,-9.413817814492898,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,0,-6.519969463972082,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",25,9,18.042818562228366,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,16,-15.317579653169197,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",20,13,12.366038614439715,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,4,-15.306983069975576,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,0,-5.227426995218465,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,12,10.50046732467359,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,0,-23.980649632349717,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,10,-10.163081763247312,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,7,-9.064551765024117,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,11,-36.70932695759428,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.421334222154768}",25,13,-45.40908555790983,"{0: 6, 1: 3, 2: 2, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",25,2,-23.606808463789466,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,0,-30.192816404311074,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,7,-33.2959300598444,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",25,5,-38.18244260145564,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",25,10,25.902423393046483,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",30,5,-30.65700118491628,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",20,14,-1.1778562581656526,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",20,0,-22.387568210580664,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",30,15,-3.327750640975697,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,0,-43.21977477538892,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,5,23.749908762955883,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,0,-92.82336973370657,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",30,6,-59.86077009757102,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",25,0,-54.541670398082786,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,5,-38.62291286212243,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,11,5.610269651879759,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",25,15,2.802896461775264,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",20,0,-43.16586427709352,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.348093114492442}",20,6,7.9446348689883415,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,18,14.213943574247615,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",30,18,-1.8654988658998817,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,3,5.968926309398532,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",30,16,11.588146776304116,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,13,16.391282463884636,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,4,-7.208709583376739,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,12,14.479621037542815,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
